type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
lev2	lit	regs	6	edu11	4	.6396095147122285	.1028864967764742	75	.
lev2	lit	regs	6	edu11	5	.7762690442982594	.0884362582331595	45	.
lev2	lit	regs	7	age_gr	1	.5855770226254217	.1004518567643791	45	.
lev2	lit	regs	7	age_gr	2	.713988729694405	.0686125503703286	100	.
lev2	lit	regs	7	age_gr	3	.6685713744758	.0772296881376885	71	.
lev2	lit	regs	7	lnghome	1	.6190472886982592	.1070363350097706	39	.
lev2	lit	regs	7	lnghome	2	.6831169658825863	.063569067996674	174	.
lev2	lit	regs	7	gender	1	.607865104525616	.0710143052612834	75	.
lev2	lit	regs	7	gender	2	.7221022509874672	.0626145975133258	141	.
lev2	lit	regs	7	edu11	2	.5718452958108058	.1030085130578328	46	.
lev2	lit	regs	7	edu11	3	.7356174633264264	.1273783709716268	30	.
lev2	lit	regs	7	edu11	4	.6382691626650092	.0829212826727949	81	.
lev2	lit	regs	7	edu11	5	.7856593259681656	.0766282784713	59	.
lev2	lit	regs	8	age_gr	1	.8289073191658527	.0495823535912898	141	.
lev2	lit	regs	8	age_gr	2	.8001291840037831	.0536431623594497	271	.
lev2	lit	regs	8	age_gr	3	.7385003301381904	.0649381935781482	126	.
lev2	lit	regs	8	lnghome	1	.7280368417453995	.0767731052030449	156	.
lev2	lit	regs	8	lnghome	2	.8229783950350009	.0359348291550074	381	.
lev2	lit	regs	8	gender	1	.77625369286099	.0610359009777483	214	.
lev2	lit	regs	8	gender	2	.8068983237727303	.0395853467750802	324	.
lev2	lit	regs	8	edu11	2	.7618636293086049	.1046124689657481	55	.
lev2	lit	regs	8	edu11	3	.7973253874629441	.0636367071035693	84	.
lev2	lit	regs	8	edu11	4	.7864451481225733	.0563401719679701	262	.
lev2	lit	regs	8	edu11	5	.8156432743126766	.0611832674724286	137	.
lev2	lit	regs	9	age_gr	1	.858237684659555	.0388109477391809	234	.
lev2	lit	regs	9	age_gr	2	.9044086210223103	.0241106037266943	322	.
