type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	regs	7	lnghome	2	244.9969156561868	6.456420725102459	174	.
pv	lit	regs	7	gender	1	241.0130856512006	6.507048098271452	75	.
pv	lit	regs	7	gender	2	246.5542250136248	6.51557127572485	141	.
pv	lit	regs	7	edu11	2	232.6591663739214	6.608175121817856	46	.
pv	lit	regs	7	edu11	3	254.8850736880585	14.06269161494661	30	.
pv	lit	regs	7	edu11	4	239.7710048429678	7.578429330605517	81	.
pv	lit	regs	7	edu11	5	255.8738312017694	6.698297571163953	59	.
pv	lit	regs	8	age_gr	1	256.0904915104955	4.257413696570596	141	.
pv	lit	regs	8	age_gr	2	259.6592674507175	4.816758393503904	271	.
pv	lit	regs	8	age_gr	3	251.0192601177053	5.67371585316985	126	.
pv	lit	regs	8	lnghome	1	250.6893620492984	6.131914329151977	156	.
pv	lit	regs	8	lnghome	2	259.3333109487629	3.737849116552228	381	.
pv	lit	regs	8	gender	1	254.616660628773	4.761724856765508	214	.
pv	lit	regs	8	gender	2	258.2253581019097	4.303895574552437	324	.
pv	lit	regs	8	edu11	2	251.4635817031289	8.910954582814194	55	.
pv	lit	regs	8	edu11	3	253.005312503517	5.133692348419056	84	.
pv	lit	regs	8	edu11	4	255.8984118840438	4.296552035244671	262	.
pv	lit	regs	8	edu11	5	262.7407953164845	6.676671086296285	137	.
pv	lit	regs	9	age_gr	1	265.4324741408153	4.749171156647378	234	.
pv	lit	regs	9	age_gr	2	271.8341333578624	4.230335405684713	322	.
pv	lit	regs	9	age_gr	3	270.0727404883921	3.442770345050227	131	.
pv	lit	regs	9	lnghome	1	264.1723432432391	4.567435610867685	285	.
pv	lit	regs	9	lnghome	2	273.2170950650648	3.202923564193958	381	.
pv	lit	regs	9	lnghome	3	263.1301461939692	10.35120569415412	10	.
pv	lit	regs	9	gender	1	271.9118212352768	4.515712998916233	248	.
pv	lit	regs	9	gender	2	266.9995024669244	3.545256965923367	439	.
pv	lit	regs	9	edu11	2	266.0504608690692	5.619325674877916	45	.
pv	lit	regs	9	edu11	3	268.2551739932665	4.663939878135833	109	.
pv	lit	regs	9	edu11	4	271.2706178225528	3.240562450080386	204	.
pv	lit	regs	9	edu11	5	268.6810441339964	5.030363652025415	329	.
pv	lit	regs	10	age_gr	1	253.0850660758476	4.798670947881401	84	.
pv	lit	regs	10	age_gr	2	261.5541388766711	5.215554728317189	136	.
pv	lit	regs	10	age_gr	3	249.3111059557017	4.941124237565174	72	.
pv	lit	regs	10	lnghome	1	250.3269642876517	5.30792136485739	105	.
pv	lit	regs	10	lnghome	2	259.6627941778379	3.867214591739439	186	.
pv	lit	regs	10	gender	1	252.0901008607786	4.916837387997616	132	.
pv	lit	regs	10	gender	2	261.0458111888619	3.721135088204943	160	.
pv	lit	regs	10	edu11	2	246.2167475804972	6.345013251337006	52	.
pv	lit	regs	10	edu11	3	247.4846303446363	9.231493723978112	27	.
pv	lit	regs	10	edu11	4	258.5134538657053	5.28412748247221	125	.
pv	lit	regs	10	edu11	5	261.2891450591894	5.205500096039895	88	.
pv	lit	regs	11	age_gr	1	236.349905655409	4.989828911225738	101	.
pv	lit	regs	11	age_gr	2	235.960724611655	3.649672624512109	158	.
pv	lit	regs	11	age_gr	3	223.9632664591258	5.248647316240278	88	.
pv	lit	regs	11	lnghome	1	226.3787392624604	3.464326975522622	205	.
pv	lit	regs	11	lnghome	2	245.1432953532772	4.537927596261813	141	.
pv	lit	regs	11	lnghome	3	262.2469848632813	18.20300309926814	1	.
pv	lit	regs	11	gender	1	231.6890013419608	4.305953553586381	142	.
pv	lit	regs	11	gender	2	234.475067168109	3.71360726897999	205	.
pv	lit	regs	11	edu11	2	218.6544044825497	6.513414079156893	50	.
pv	lit	regs	11	edu11	3	236.8008563153446	7.907303302667917	50	.
pv	lit	regs	11	edu11	4	231.5434714530915	4.625399542014872	144	.
pv	lit	regs	11	edu11	5	241.1662050210554	3.702205816215824	103	.
pv	lit	regs	12	age_gr	1	241.3281890359453	5.135172104459422	186	.
pv	lit	regs	12	age_gr	2	240.2173875852979	3.967641638606569	349	.
pv	lit	regs	12	age_gr	3	247.3591014603414	4.718987397563309	152	.
pv	lit	regs	12	lnghome	1	237.3679694359379	4.654392532088931	435	.
pv	lit	regs	12	lnghome	2	251.6225416474631	4.22731015604549	217	.
pv	lit	regs	12	lnghome	3	250.8403689815091	7.096589971822536	28	.
pv	lit	regs	12	gender	1	241.2081419216362	3.584110271208612	271	.
pv	lit	regs	12	gender	2	242.9858434684331	4.260934952367847	416	.
pv	lit	regs	12	edu11	2	232.4934990997204	5.727543210390038	162	.
pv	lit	regs	12	edu11	3	242.8621073477932	4.982669368338772	107	.
pv	lit	regs	12	edu11	4	246.1855614851822	4.254573942406485	205	.
pv	lit	regs	12	edu11	5	246.9049602627491	4.583249553990542	213	.
pv	lit	regs	13	age_gr	1	237.2406059633071	7.880947374152616	45	.
pv	lit	regs	13	age_gr	2	236.18715053563	6.495385991512935	105	.
pv	lit	regs	13	age_gr	3	232.4209344593768	8.595921244908645	46	.
pv	lit	regs	13	lnghome	1	236.1763439656461	6.137393501687392	170	.
pv	lit	regs	13	lnghome	2	232.3043907172122	12.80452462296221	26	.
pv	lit	regs	13	gender	1	234.7976589040207	7.270460441086882	90	.
pv	lit	regs	13	gender	2	236.6226291462477	5.197731707087846	106	.
pv	lit	regs	13	edu11	2	233.8681169915888	11.78459497161244	6	.
pv	lit	regs	13	edu11	3	237.6011820099106	12.08541951927873	22	.
