type_value	subject	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	f_q02d	5	254.9354727973234	2.241249713704945	1098	.
pv	lit	f_q02e	1	246.0530926899153	1.724543207719828	1593	.
pv	lit	f_q02e	2	252.1780198518174	2.258495137302206	449	.
pv	lit	f_q02e	3	255.3677037073665	3.593904903747523	271	.
pv	lit	f_q02e	4	255.8618625272427	2.933336141109114	422	.
pv	lit	f_q02e	5	253.97214234233	1.769673081353248	1422	.
pv	lit	f_q03a	1	244.534994801973	1.952563145098392	966	.
pv	lit	f_q03a	2	248.6253461326639	2.741224100709271	433	.
pv	lit	f_q03a	3	258.6254590782539	3.455341607285766	274	.
pv	lit	f_q03a	4	263.8624847802224	2.461608343930186	522	.
pv	lit	f_q03a	5	250.1424892696357	1.66818012028887	1961	.
pv	lit	f_q03b	1	249.9016732109514	1.427101584062856	2594	.
pv	lit	f_q03b	2	247.7753530837201	2.900430785930796	322	.
pv	lit	f_q03b	3	259.2538903535378	3.806278488556417	207	.
pv	lit	f_q03b	4	258.3300694016636	2.949984014867815	291	.
pv	lit	f_q03b	5	250.4276736480704	2.628288830532132	729	.
pv	lit	f_q03c	1	242.4893628761724	1.752847889775296	1032	.
pv	lit	f_q03c	2	249.4556815614929	4.13595572225744	338	.
pv	lit	f_q03c	3	260.7610949424694	3.830706880395396	236	.
pv	lit	f_q03c	4	262.0851652888305	3.132483283484364	449	.
pv	lit	f_q03c	5	251.8680424548184	1.675688522881254	2096	.
pv	lit	f_q04a	1	245.0901236639306	1.705958631718413	2034	.
pv	lit	f_q04a	2	259.504048584393	3.071054755683209	385	.
pv	lit	f_q04a	3	263.4493471911705	3.030075295563063	241	.
pv	lit	f_q04a	4	256.7264742445686	2.55764393521617	401	.
pv	lit	f_q04a	5	254.5191901549333	2.006156456063767	1091	.
pv	lit	f_q04b	1	248.3493050626489	1.694114348994043	2192	.
pv	lit	f_q04b	2	255.3083175670508	2.301791401308784	411	.
pv	lit	f_q04b	3	257.4607843270526	2.854002536338791	281	.
pv	lit	f_q04b	4	255.9183302215762	2.688094535792913	400	.
pv	lit	f_q04b	5	250.9812025441279	2.449374596495007	871	.
pv	lit	f_q05a	1	238.9809814964232	2.473337214061285	667	.
pv	lit	f_q05a	2	248.9046192774387	2.382633703338146	796	.
pv	lit	f_q05a	3	256.9406597758928	2.314715003185241	691	.
pv	lit	f_q05a	4	259.2378644140131	2.525059831129364	810	.
pv	lit	f_q05a	5	249.6697236642979	1.960164779477096	1172	.
pv	lit	f_q05b	1	241.8934771924416	2.025975678128687	948	.
pv	lit	f_q05b	2	253.0100618428801	1.734358683367109	1233	.
pv	lit	f_q05b	3	258.5662466010253	2.012878993732569	817	.
pv	lit	f_q05b	4	258.4813288093188	2.172395884034522	663	.
pv	lit	f_q05b	5	238.3094981522714	3.412167595824384	472	.
pv	lit	f_q06c	1	253.544370583772	1.656758862657617	1373	.
pv	lit	f_q06c	2	254.2800171647364	4.760404090421473	347	.
pv	lit	f_q06c	3	260.7659606272823	2.923985914336599	256	.
pv	lit	f_q06c	4	259.2526344699368	2.394900151110954	445	.
pv	lit	f_q06c	5	244.2528736457553	1.69124644654189	1741	.
pv	lit	f_q07a	1	253.1095176032862	1.353347186398374	3274	.
pv	lit	f_q07a	2	247.6453188684715	3.017203079019301	348	.
pv	lit	f_q07b	1	249.3621067334274	1.63952399199525	1418	.
pv	lit	f_q07b	2	254.5965291837807	1.487585219826872	2237	.
pv	lit	g_q01a_t1	1	250.5326903763094	1.787217685442695	1355	.
pv	lit	g_q01a_t1	2	259.9742170600249	2.99899575870643	485	.
pv	lit	g_q01a_t1	3	249.0934499489026	1.323916391412873	2324	.
pv	lit	g_q01b_t1	1	252.8613365652036	1.948566722060074	1575	.
pv	lit	g_q01b_t1	2	262.2018504414875	3.696878766473936	230	.
pv	lit	g_q01b_t1	3	248.4323412582193	1.311755777501901	2361	.
pv	lit	g_q01c_t1	1	248.4105960387081	2.105754583425515	934	.
pv	lit	g_q01c_t1	2	260.1878290871988	2.687174281338334	369	.
pv	lit	g_q01c_t1	3	250.4511152753683	1.383989469984131	2863	.
pv	lit	g_q01f_t1	1	248.9362127442781	1.812243541520181	1104	.
pv	lit	g_q01f_t1	2	259.4139005593044	2.658776593695805	515	.
pv	lit	g_q01f_t1	3	249.8288606661805	1.390706611498995	2545	.
pv	lit	g_q01g_t1	1	254.2071674249195	2.014285418189601	984	.
pv	lit	g_q01g_t1	2	260.3241586305541	2.624011660827616	390	.
pv	lit	g_q01g_t1	3	248.3678204338343	1.406425073818381	2788	.
pv	lit	g_q01h_t1	1	254.927711191426	2.316036133614216	583	.
pv	lit	g_q01h_t1	2	260.0302429210278	3.73230171682502	229	.
pv	lit	g_q01h_t1	3	249.4627648174969	1.303748008072466	3350	.
pv	lit	g_q03b	1	248.1478162422594	1.520563737626556	2262	.
pv	lit	g_q03b	2	251.1545016637882	2.560456619734558	434	.
pv	lit	g_q03b	3	256.0324366841702	3.246700909603439	291	.
pv	lit	g_q03b	4	262.8435371564457	2.774746872994293	333	.
pv	lit	g_q03b	5	251.5442362863227	2.125182747544474	847	.
pv	lit	g_q03c	1	248.1635673320251	1.302869636796003	2986	.
pv	lit	g_q03c	2	261.5633487083159	3.893228155625784	351	.
pv	lit	g_q03c	3	258.6755445144038	4.122747235153208	189	.
pv	lit	g_q03c	4	260.6713485228047	3.345543683802503	243	.
pv	lit	g_q03c	5	251.6504295973486	2.855492427981185	395	.
pv	lit	g_q03d	1	245.7056613043006	1.388674987476584	1723	.
pv	lit	g_q03d	2	256.2942213483622	2.635693954811877	411	.
pv	lit	g_q03d	3	256.8093104430844	3.26542375177719	269	.
pv	lit	g_q03d	4	259.6460395921407	2.714843928050962	458	.
pv	lit	g_q03d	5	251.784346855472	2.263724562923306	1308	.
pv	lit	g_q03f	1	248.8853369107017	1.289823662118059	2987	.
pv	lit	g_q03f	2	255.1149521350807	3.059034411477806	379	.
pv	lit	g_q03f	3	264.3611821550867	3.037056749474925	280	.
pv	lit	g_q03f	4	254.6693990417827	3.741061389360802	253	.
pv	lit	g_q03f	5	248.7040249318451	3.161541960672274	267	.
pv	lit	g_q03f	1	248.8853369107017	1.289823662118059	2987	.
pv	lit	g_q03f	2	255.1149521350807	3.059034411477806	379	.
pv	lit	g_q03f	3	264.3611821550867	3.037056749474925	280	.
pv	lit	g_q03f	4	254.6693990417827	3.741061389360802	253	.
pv	lit	g_q03f	5	248.7040249318451	3.161541960672274	267	.
pv	lit	g_q03g	1	248.0145679502594	1.334804629507288	2952	.
pv	lit	g_q03g	2	257.0474155110309	3.69819566793271	291	.
pv	lit	g_q03g	3	262.0228262510787	3.842142085741977	182	.
pv	lit	g_q03g	4	258.042857950009	3.867404027063111	205	.
pv	lit	g_q03g	5	256.5814572228767	2.574188098516419	539	.
pv	lit	g_q03h	1	250.8230132268012	1.254160639990528	3739	.
pv	lit	g_q03h	2	253.8807281599939	4.804075567763214	169	.
pv	lit	g_q03h	3	251.5915324724706	4.2847771966614	92	.
pv	lit	g_q03h	4	250.9222432394407	5.499682829794455	79	.
pv	lit	g_q03h	5	242.1043674688928	5.74370482340573	87	.
pv	lit	g_q04	1	252.5126679641555	1.693977481190564	2113	.
pv	lit	g_q04	2	249.136205170055	1.432314660053057	2059	.
pv	lit	g_q05a	1	246.0837268389909	2.949828496509656	339	.
pv	lit	g_q05a	2	247.2640866159996	3.100332191924863	223	.
pv	lit	g_q05a	3	267.5148824021257	5.647296082247647	164	.
pv	lit	g_q05a	4	255.7579736053455	2.985317699314026	395	.
pv	lit	g_q05a	5	251.9579515365624	2.452121829044399	991	.
pv	lit	g_q05c	1	246.7743892543666	4.010219649142601	272	.
pv	lit	g_q05c	2	255.1306179613426	5.178863390234704	208	.
pv	lit	g_q05c	3	262.2749730719981	3.780425427776982	176	.
pv	lit	g_q05c	4	256.7160526098075	2.50575253318596	455	.
pv	lit	g_q05c	5	249.8125862196947	2.293235118225512	999	.
pv	lit	g_q05d	1	255.888455406938	1.827917700547679	1202	.
pv	lit	g_q05d	2	249.532755154669	3.257985091170503	275	.
pv	lit	g_q05d	3	250.3287612154622	4.155359641461104	138	.
pv	lit	g_q05d	4	264.3884175550343	3.883071923598641	175	.
pv	lit	g_q05d	5	235.5334595735179	3.373829692589041	319	.
pv	lit	g_q05e	1	244.7647046430377	2.501715787925631	618	.
pv	lit	g_q05e	2	251.2558715401876	2.946623536508918	318	.
pv	lit	g_q05e	3	259.5537169541395	2.825277571945517	250	.
pv	lit	g_q05e	4	261.1994549979113	3.112394291617997	323	.
pv	lit	g_q05e	5	253.9941507468651	3.163754144166133	602	.
pv	lit	g_q05f	1	244.5286594711853	2.849850452487458	428	.
pv	lit	g_q05f	2	246.0070037057877	4.542769705804758	230	.
pv	lit	g_q05f	3	259.4058927596581	4.179320985001113	206	.
pv	lit	g_q05f	4	262.3144489002955	2.61874896605534	407	.
