type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
pv	lit	regs	11	gender	1	231.6890013419608	4.305953553586381	142	.
pv	lit	regs	11	gender	2	234.475067168109	3.71360726897999	205	.
pv	lit	regs	11	edu11	2	218.6544044825497	6.513414079156893	50	.
pv	lit	regs	11	edu11	3	233.6153874031476	5.162636800323593	175	.
pv	lit	regs	11	edu11	4	238.5254934463086	4.111389972818149	122	.
pv	lit	regs	11	vet	0	241.1662050210554	3.702205816215824	103	.
pv	lit	regs	11	vet	1	231.5434714530915	4.625399542014872	144	.
pv	lit	regs	12	age_gr	1	241.4243466966294	6.005143886798157	98	.
pv	lit	regs	12	age_gr	2	240.4362335011455	3.985376356342743	437	.
pv	lit	regs	12	age_gr	3	247.3591014603414	4.718987397563309	152	.
pv	lit	regs	12	lnghome	1	237.3679694359379	4.654392532088931	435	.
pv	lit	regs	12	lnghome	2	251.6225416474631	4.22731015604549	217	.
pv	lit	regs	12	lnghome	3	250.8403689815091	7.096589971822536	28	.
pv	lit	regs	12	gender	1	241.2081419216362	3.584110271208612	271	.
pv	lit	regs	12	gender	2	242.9858434684331	4.260934952367847	416	.
pv	lit	regs	12	edu11	2	232.4934990997204	5.727543210390038	162	.
pv	lit	regs	12	edu11	3	244.8014937154908	3.706943919716825	278	.
pv	lit	regs	12	edu11	4	246.9232934444515	4.103946849550821	247	.
pv	lit	regs	12	vet	0	246.8086417266816	4.599309437834257	212	.
pv	lit	regs	12	vet	1	246.1855614851822	4.254573942406485	205	.
pv	lit	regs	13	age_gr	1	242.206608188054	9.730821668706456	23	.
pv	lit	regs	13	age_gr	2	234.9138303623971	6.045050917686648	127	.
pv	lit	regs	13	age_gr	3	232.4209344593768	8.595921244908645	46	.
pv	lit	regs	13	lnghome	1	236.1763439656461	6.137393501687392	170	.
pv	lit	regs	13	lnghome	2	232.3043907172122	12.80452462296221	26	.
pv	lit	regs	13	gender	1	234.7976589040207	7.270460441086882	90	.
pv	lit	regs	13	gender	2	236.6226291462477	5.197731707087846	106	.
pv	lit	regs	13	edu11	2	233.8681169915888	11.78459497161244	6	.
pv	lit	regs	13	edu11	3	237.0881644758892	10.07005726254545	61	.
pv	lit	regs	13	edu11	4	234.9416148935123	5.495554816870651	129	.
pv	lit	regs	13	vet	0	240.4152394010633	5.076990066654776	83	.
pv	lit	regs	13	vet	1	231.2106244595885	6.925359637977555	85	.
pv	lit	regs	14	age_gr	1	245.6083103681814	7.032654918198689	29	.
pv	lit	regs	14	age_gr	2	229.8876005624842	3.325439703493415	159	.
pv	lit	regs	14	age_gr	3	226.4950918707175	6.126179831470341	57	.
pv	lit	regs	14	lnghome	1	227.1558258323375	4.310705900197309	97	.
pv	lit	regs	14	lnghome	2	233.8497909959123	3.74593652010303	147	.
pv	lit	regs	14	lnghome	3	211.6941650390625	14.62687029358208	1	.
pv	lit	regs	14	gender	1	229.9875860566868	3.909471569516489	106	.
pv	lit	regs	14	gender	2	232.3459218906378	3.595579499501835	139	.
pv	lit	regs	14	edu11	2	223.4041361035759	6.824283617260851	28	.
pv	lit	regs	14	edu11	3	228.7524243879294	4.270162401995945	131	.
pv	lit	regs	14	edu11	4	239.6231320564372	5.28157789399256	86	.
pv	lit	regs	14	vet	0	239.9018880452822	5.078769995919867	81	.
pv	lit	regs	14	vet	1	232.4318722454123	4.999414191650167	83	.
pv	lit	regs	15	age_gr	1	251.0694629347916	4.803731806970879	66	.
pv	lit	regs	15	age_gr	2	249.879780935524	2.878423452573709	273	.
pv	lit	regs	15	age_gr	3	251.2226777627318	3.936696483097977	99	.
pv	lit	regs	15	lnghome	1	245.9380591538366	3.380518443971166	237	.
pv	lit	regs	15	lnghome	2	256.9125323325898	4.055895817046884	189	.
pv	lit	regs	15	lnghome	3	247.9636456130666	14.23061684956231	8	.
pv	lit	regs	15	gender	1	250.8881189540971	3.001338565420698	165	.
pv	lit	regs	15	gender	2	249.9812059225175	2.888990699966621	273	.
pv	lit	regs	15	edu11	2	253.6358470978245	6.137543844783727	36	.
pv	lit	regs	15	edu11	3	246.3000213111608	2.945591443089655	233	.
pv	lit	regs	15	edu11	4	256.1653931611106	3.522399224744881	169	.
pv	lit	regs	15	vet	0	256.9862604183023	3.424862575037277	156	.
pv	lit	regs	15	vet	1	245.2183179811136	3.532857916685172	184	.
pv	lit	regs	16	age_gr	1	251.5475500743387	10.37809892487875	57	.
pv	lit	regs	16	age_gr	2	251.6893401073394	3.671702752714129	333	.
pv	lit	regs	16	age_gr	3	253.5138130355762	4.711098910556014	127	.
pv	lit	regs	16	lnghome	1	250.7711528364069	5.920809546755008	120	.
pv	lit	regs	16	lnghome	2	252.966849098875	4.277003918780776	387	.
pv	lit	regs	16	lnghome	3	270.3583394400018	126.5953939543509	2	.
pv	lit	regs	16	gender	1	252.7781535368806	3.899843434623495	179	.
pv	lit	regs	16	gender	2	251.6289576482953	4.991908997864258	338	.
pv	lit	regs	16	edu11	2	237.5323947883064	8.336700806883695	71	.
pv	lit	regs	16	edu11	3	243.31984929801	4.656619097529289	232	.
pv	lit	regs	16	edu11	4	267.9798191357506	4.319060530000212	213	.
pv	lit	regs	16	vet	0	269.5523159351839	4.543002161551195	187	.
pv	lit	regs	16	vet	1	246.6910952183458	5.210140947897004	184	.
pv	num	regs	1	age_gr	1	247.9920138675417	7.469365214373295	94	.
pv	num	regs	1	age_gr	2	249.219283658151	3.427307311934142	141	.
